Total_Pop,Total_Males,Total_Females,Median_Age,Total_Veterans,Total_White_People,Total_Afr_Am_People,Total_Asian,Total_American_Ind_Alk_Ntv,Total_Cuban_Origin,Total_Puerto_Rican_Origin,Total_Dominican_Origin,Total_Mexican_Origin,Total_Native_US,Total_Non_Citizens,Total_Foreign_Born,Total_Children,Total_Married_Households,Total_Less_Highschool,Total_Bachelor_Holders,Total_STEM,Total_Business_Degree,Total_Labor_Force_Eligible,Total_Employed,Total_Unemployed,Median_Household_Income,Median_Income,Below_Poverty_Level_LTM,Total_Wealthy_Households,Gini_Index,Median_Age_Of_Worker,Total_Workers,Total_Working_Agricult,Total_Working_Construction,Total_Working_Manufacturing,Total_Working_Retail,Total_Working_Transportation,Total_Working_Finance,Total_Working_Education,Total_Working_Health,Total_Working_Food,Total_Working_Public_Admin,Total_Working_Information,Median_Gross_Rent,District_Name,State_Id,CD,State,CD_Id_Year,Previous_Presidential_D,Previous_Presidential_R,Target_Presidential_D,Target_Presidential_R
761778,368300,393478,40.0,35188,506183,91797,74832,2908,3075,6255,3586,12508,563902,91390,183796,169491,150035,49781,133752,23180,45870,427605,408019,19586,95314,42293,59403,47162,0.4704,42.2,409051,1927,26683,14530,31076,11727,26345,41536,47765,27220,46484,11334,1622,"Congressional District 8 (114th Congress), Maryland",24,08,MD,MD-08-2016,62.0,36.0,65.0,30.6
736190,354793,381397,41.0,45064,626968,46172,14655,1892,841,101720,6319,6888,628329,26282,57114,153349,123421,60715,87258,16395,26239,372081,346235,25846,53918,26621,106391,12500,0.4663,41.8,354532,2971,16531,39349,44817,15137,25056,40349,65798,24188,13941,6830,868,"Congressional District 1 (114th Congress), Massachusetts",25,01,MA,MA-01-2016,64.0,34.3,57.2,36.5
744886,363964,380922,39.1,42944,625647,39694,39563,1766,1190,38990,6888,4352,636772,42849,84776,149859,126550,49240,105556,16436,32302,387973,363332,24641,62448,29572,97084,18846,0.4674,40.6,376154,2107,18137,41496,44506,14224,22773,55213,63108,26636,12590,8010,1013,"Congressional District 2 (114th Congress), Massachusetts",25,02,MA,MA-02-2016,58.7,39.2,56.2,36.8
754068,372202,381866,39.0,37037,587198,25736,65457,1391,693,61172,49478,8712,591232,65727,131171,174471,133841,57889,107278,15685,37310,400927,377752,23175,72570,32062,83115,25763,0.4625,42.2,380104,1216,21457,53462,36675,12074,19283,38894,57824,27290,13154,10411,1085,"Congressional District 3 (114th Congress), Massachusetts",25,03,MA,MA-03-2016,56.9,41.4,58.2,35.4
750331,364844,385487,40.9,31741,652907,21406,44196,256,2405,11763,3068,4714,641348,41678,97597,171170,149677,36579,132924,19899,48281,399110,377922,21188,90913,40327,50328,43593,0.4813,42.7,384820,590,20123,35095,38482,13595,35205,46855,64504,18434,12607,9701,1221,"Congressional District 4 (114th Congress), Massachusetts",25,04,MA,MA-04-2016,57.2,41.3,59.2,35.0
765922,369981,395941,39.5,26436,598090,37888,83781,1610,1860,13410,2510,7031,572310,87035,180644,151822,149400,37294,145372,22735,52492,425830,409130,16700,86183,41066,57461,46638,0.4794,40.2,420772,674,21504,32591,35314,13358,32068,59621,64061,26594,13422,14328,1472,"Congressional District 5 (114th Congress), Massachusetts",25,05,MA,MA-05-2016,65.2,33.1,69.3,25.7
761166,368484,392682,42.1,40223,649968,25920,31281,1151,637,11921,25237,3094,656364,42756,93842,160418,150225,39927,132535,21365,47384,412608,392467,20141,80638,35796,63016,33976,0.4641,42.4,396996,821,23646,38574,42037,12491,28170,40258,61578,28295,15899,9515,1195,"Congressional District 6 (114th Congress), Massachusetts",25,06,MA,MA-06-2016,54.7,43.9,56.1,38.2
777588,376951,400637,31.7,19725,389836,206372,78533,1226,2344,44132,30231,8687,499810,133469,251668,130667,81630,83049,117449,18205,40288,438454,410738,27716,56719,28628,137743,21983,0.5256,32.4,431279,483,16939,22850,38760,17021,31116,60628,74883,41100,13330,10842,1411,"Congressional District 7 (114th Congress), Massachusetts",25,07,MA,MA-07-2016,82.5,15.6,84.1,11.9
764789,368018,396771,39.0,34142,589801,73099,60240,429,1734,14558,6282,3886,624536,52946,128374,154072,131073,40519,149674,20644,59021,435859,411602,24257,79789,37973,79416,31963,0.4711,39.6,414702,1208,21180,25302,43967,18210,42470,41422,70985,28305,16685,9543,1329,"Congressional District 8 (114th Congress), Massachusetts",25,08,MA,MA-08-2016,57.8,40.8,60.4,34.4
739482,358147,381335,45.6,50678,652823,23070,13033,942,241,19476,2851,3222,656981,30446,70767,141366,142897,54137,108669,18145,35040,384982,360023,24959,63532,30664,77517,20251,0.4767,43.7,362844,3513,31161,28498,50011,13732,23847,27942,56870,30107,16904,5745,927,"Congressional District 9 (114th Congress), Massachusetts",25,09,MA,MA-09-2016,55.5,43.1,52.5,41.8
700136,356192,343944,46.4,61384,644995,11590,4637,18153,738,990,238,9923,682369,7242,13068,131412,146605,40871,78341,15121,21664,314942,294121,20821,45684,23482,93377,6868,0.4521,42.7,297829,7916,19837,33272,39333,13184,14400,24981,49878,30719,13400,4840,674,"Congressional District 1 (114th Congress), Michigan",26,01,MI,MI-01-2016,45.3,53.6,36.6,57.9
731188,360010,371178,37.0,42728,618624,48177,15409,4422,1705,6494,910,53556,681749,24252,42853,176870,141687,48927,82141,13598,25937,359781,340566,19215,51681,25118,91516,7649,0.4413,39.3,344887,5120,18041,83769,40242,11912,15397,26066,44107,25336,9244,4899,749,"Congressional District 2 (114th Congress), Michigan",26,02,MI,MI-02-2016,43.1,56.0,38.2,55.8
730423,364098,366325,36.9,40285,612470,59996,15325,3150,1046,5540,2518,33945,685940,22254,38536,177502,136496,45559,97475,16016,36053,370818,348443,22375,53861,26190,103751,10009,0.4561,39.2,351028,5806,17988,67666,39784,13757,18854,28705,49469,25280,11212,4624,787,"Congressional District 3 (114th Congress), Michigan",26,03,MI,MI-03-2016,45.8,53.1,42.2,51.6
701635,351789,349846,41.0,48850,658633,13604,6726,6036,1021,1285,0,16617,682008,9631,15881,145712,138510,46736,61701,9678,21054,320934,300200,20734,47461,23382,109496,8299,0.4506,40.4,305545,8529,20980,51002,35221,13224,13816,32250,42709,23624,13998,3078,709,"Congressional District 4 (114th Congress), Michigan",26,04,MI,MI-04-2016,45.5,53.5,34.7,59.5
682716,329925,352791,41.1,43643,529329,114774,7143,1541,464,1152,155,26994,663201,5948,16033,152642,118818,50392,59424,11449,23002,310506,280870,29636,42390,23254,135274,5110,0.4528,40.7,282380,1923,15441,45185,40427,12980,12746,18014,51956,23643,8957,3883,709,"Congressional District 5 (114th Congress), Michigan",26,05,MI,MI-05-2016,60.7,38.3,49.7,45.5
713644,352105,361539,38.8,43342,602375,59654,10748,2763,1168,3134,1728,30181,676682,16930,32378,163246,135217,42414,80573,13552,27156,356896,333732,23164,50511,25789,105559,9716,0.4637,39.9,338465,6303,18194,73883,37046,13063,17137,31457,46994,26441,9608,3414,700,"Congressional District 6 (114th Congress), Michigan",26,06,MI,MI-06-2016,48.8,50.2,42.9,51.3
697627,349767,347860,42.0,46827,635042,30703,7037,2666,978,3805,235,20993,677233,6866,16125,152878,139429,42699,71884,14150,24079,329738,312103,17635,53887,27116,85710,9234,0.4322,42.5,315090,5157,18522,62319,34368,15137,13899,29569,45496,22499,14615,3527,743,"Congressional District 7 (114th Congress), Michigan",26,07,MI,MI-07-2016,47.9,51.0,38.7,55.7
728781,358354,370427,38.5,38665,624394,38579,30824,1633,2417,2040,110,26009,671911,27409,52531,158867,145332,28108,110661,17508,41102,376198,354744,21454,65400,31029,85666,18606,0.4519,40.4,360853,1832,16527,59452,37868,11640,24681,43016,46387,26065,14194,6042,862,"Congressional District 8 (114th Congress), Michigan",26,08,MI,MI-08-2016,48.0,51.1,43.9,50.6
717641,347631,370010,41.1,39394,568195,95861,29744,3102,107,2137,114,9835,633112,29859,79703,144235,127093,54940,90309,18046,36732,370067,345473,24594,52455,29280,93777,12247,0.4605,40.7,345827,794,15137,67054,38070,12930,22363,21439,52849,27520,10783,5204,891,"Congressional District 9 (114th Congress), Michigan",26,09,MI,MI-09-2016,57.2,41.9,51.5,43.7
715535,353399,362136,42.3,45366,662069,19660,12635,1051,838,1726,20,18416,667278,17374,43887,161324,155292,45826,71908,15473,29726,355887,334756,21131,58068,28738,72395,9827,0.4262,42.7,335471,5372,22176,71817,37651,13625,18096,21643,49711,23790,12616,4664,826,"Congressional District 10 (114th Congress), Michigan",26,10,MI,MI-10-2016,43.7,55.3,31.6,63.8
720585,354413,366172,41.1,34319,577662,43959,72930,3254,561,2155,395,17323,616916,46004,98290,161677,161241,27020,132576,23761,55017,385905,369659,16246,77183,37179,46849,26737,0.4417,42.8,370875,942,17021,72481,37971,11148,24428,30329,52802,25497,9209,7097,998,"Congressional District 11 (114th Congress), Michigan",26,11,MI,MI-11-2016,46.9,52.3,45.3,49.7
708020,346264,361756,35.9,32545,563070,74487,39045,2216,1499,5365,657,26786,620199,37598,80215,150110,117645,48644,84524,18281,26197,350546,328629,21917,54212,28596,117612,11284,0.4596,37.4,333135,1313,12745,47680,39054,18897,15228,44536,53072,26003,8526,5916,906,"Congressional District 12 (114th Congress), Michigan",26,12,MI,MI-12-2016,66.2,32.8,60.8,34.5
679235,322668,356567,36.2,32044,259550,376665,9174,2057,860,6029,575,36593,624330,23911,48448,165865,70601,80438,45405,8085,14369,290454,249563,40891,31789,19384,216202,2690,0.4914,38.6,250907,983,10681,42828,28399,16405,14448,15166,38399,21725,7161,2995,770,"Congressional District 13 (114th Congress), Michigan",26,13,MI,MI-13-2016,85.2,14.3,78.8,18.1
695410,330452,364958,38.0,29805,245075,390402,31780,1624,374,4052,200,24896,614658,34347,74142,165484,87837,60326,78624,13813,29555,319910,279114,40796,40785,22305,172461,11886,0.5345,39.6,280349,593,9071,37668,29608,14350,18920,20475,48494,23222,10543,6277,860,"Congressional District 14 (114th Congress), Michigan",26,14,MI,MI-14-2016,81.0,18.6,79.2,18.3
668741,335808,332933,38.4,42984,608338,18381,19237,2393,84,2032,9,31662,621312,26677,43770,153397,135855,34576,81420,19470,22661,361709,347796,13913,57189,30012,71650,9648,0.4372,39.9,354861,15838,21213,58295,39647,13302,13764,29047,76111,19985,9215,5633,720,"Congressional District 1 (114th Congress), Minnesota",27,01,MN,MN-01-2016,49.6,48.2,38.4,53.3
695029,342158,352871,37.7,40812,589617,28447,32847,3141,682,2311,156,26083,633318,24873,56573,175133,144961,23601,123457,18271,42855,392001,377412,14589,77122,36880,46886,18136,0.4089,41.2,382377,4968,23367,49328,41274,23651,34136,32385,50621,23918,13518,7402,1008,"Congressional District 2 (114th Congress), Minnesota",27,02,MN,MN-02-2016,49.1,49.0,45.3,46.5
700121,344228,355893,39.8,38201,572092,51343,48844,2177,197,1613,338,18603,611224,38466,82334,164838,154606,21346,153699,21282,58053,398501,383840,14661,81788,40561,37507,31706,0.4525,42.2,384757,1740,16847,55480,43265,15179,43287,28769,53207,19324,7904,6443,1113,"Congressional District 3 (114th Congress), Minnesota",27,03,MN,MN-03-2016,49.6,48.8,50.8,41.4
704158,343872,360286,35.7,32601,508360,70188,84826,3330,1256,3450,359,28507,600980,47351,97519,168235,122363,38952,123662,18141,37377,375969,357366,18603,63638,31781,87911,17582,0.4559,38.6,364599,1189,14772,46121,37831,13836,29320,40639,59522,22912,15420,7777,934,"Congressional District 4 (114th Congress), Minnesota",27,04,MN,MN-04-2016,62.5,35.5,61.5,30.6
707578,350153,357425,34.0,29941,478270,120100,45683,5936,969,2792,255,45227,588896,61243,110219,149372,103772,51116,134207,17276,36732,413445,394153,19292,56752,31080,108203,18620,0.4936,35.5,399431,1557,16485,38217,42269,13854,33858,43606,59884,33303,9849,9118,943,"Congressional District 5 (114th Congress), Minnesota",27,05,MN,MN-05-2016,73.5,24.0,73.7,18.5
687034,346448,340586,37.0,39385,628581,16698,16477,2575,0,522,319,10974,649545,15468,34424,177404,147233,25301,91637,13862,31378,381991,367254,14737,73227,34137,51432,11798,0.4037,40.9,372439,5306,31890,55833,40252,18996,26173,31391,55801,21993,11760,5815,873,"Congressional District 6 (114th Congress), Minnesota",27,06,MN,MN-06-2016,41.5,56.5,33.2,58.9
663263,331580,331683,41.0,45774,612278,8693,6249,19431,363,1007,75,19995,638785,12837,20838,153966,143211,38492,69055,12068,18075,342497,331851,10646,54481,28347,69354,7570,0.4338,41.2,336560,23121,25386,53832,37466,16635,15897,27455,54388,18732,11343,3995,660,"Congressional District 7 (114th Congress), Minnesota",27,07,MN,MN-07-2016,44.1,53.9,31.0,61.8
663670,335783,327887,43.2,52361,617263,6417,4676,16229,783,752,0,7683,648055,5552,11508,140553,139357,33922,70447,13809,18355,327545,312637,14908,52179,26640,73488,6814,0.4276,41.6,318152,9529,27910,33844,38257,17731,16207,24672,59381,25502,12721,3423,699,"Congressional District 8 (114th Congress), Minnesota",27,08,MN,MN-08-2016,51.7,46.2,38.6,54.2
758765,365091,393674,37.7,39374,525360,209799,4839,731,142,920,0,20108,736317,10934,17488,183030,136608,85734,65058,13455,21104,347033,320187,26846,43910,22747,132471,6615,0.4561,39.9,321776,6033,18881,58213,39431,24763,17972,29578,40473,19395,13243,4406,710,"Congressional District 1 (114th Congress), Mississippi",28,01,MS,MS-01-2016,37.0,61.9,32.4,65.4
724075,345000,379075,35.6,31053,226673,480259,5012,1769,0,2149,0,8444,708794,8264,11456,185904,90994,90790,50413,11077,18718,295978,261204,34774,32152,19641,209052,3324,0.4971,40.4,262679,9526,14851,36615,28508,15154,8660,27037,43135,18251,18941,2679,673,"Congressional District 2 (114th Congress), Mississippi",28,02,MS,MS-02-2016,66.4,33.0,63.6,35.1
745475,363904,381571,37.4,36228,462619,256668,8676,7027,426,1688,271,8607,723625,13424,18402,175498,128067,69055,75280,19822,27854,336533,313242,23291,42817,24130,137464,7690,0.4837,39.7,315315,11544,21862,36671,32828,14128,16626,30867,53139,24202,16649,3963,739,"Congressional District 3 (114th Congress), Mississippi",28,03,MS,MS-03-2016,39.1,60.0,36.8,61.3
764018,374500,389518,37.1,58150,543934,181749,12013,2196,285,5332,576,15327,730433,15496,24912,183575,129529,77230,62285,14108,18815,337426,305864,31562,42383,22454,158141,5642,0.4602,39.6,306909,7546,27201,33190,42906,16140,13518,29511,38396,25609,15350,3446,773,"Congressional District 4 (114th Congress), Mississippi",28,04,MS,MS-04-2016,31.2,67.6,28.2,69.4
736055,344707,391348,35.4,40167,322220,361855,22688,960,1258,2221,152,17621,684362,28558,46717,162228,91676,59906,86238,12826,33723,389460,355606,33854,42145,25309,146184,9054,0.4819,37.2,357843,1359,14000,32745,39845,21547,25640,34071,61368,29001,12293,7593,824,"Congressional District 1 (114th Congress), Missouri",29,01,MO,MO-01-2016,79.9,18.9,77.0,18.8
767531,374718,392813,42.7,44114,682730,28577,33570,1835,1160,1885,320,10518,710731,20547,51063,167785,168144,28092,150960,25677,67109,413973,400024,13949,77477,37329,38962,32938,0.4589,43.0,400400,2031,20346,39738,47112,15066,41674,38577,53440,24061,10758,9377,945,"Congressional District 2 (114th Congress), Missouri",29,02,MO,MO-02-2016,41.4,57.1,42.3,52.6
774899,386002,388897,39.1,58026,719936,26087,9341,2704,284,1429,0,10572,751847,10274,18272,182625,155431,52333,84778,13268,31475,394127,377188,16939,57578,29038,81247,9082,0.4211,41.1,381462,6307,33328,54536,45931,18989,25444,30412,47320,27622,19851,7249,760,"Congressional District 3 (114th Congress), Missouri",29,03,MO,MO-03-2016,36.1,62.0,28.1,67.1
762763,382845,379918,36.6,63623,677012,40137,11657,3735,475,2983,229,20039,730099,13097,23511,171024,149324,57778,77059,11810,22004,349807,330164,19643,45735,22958,126947,5698,0.4484,37.9,334027,9605,23462,37289,43531,16485,19777,37349,46324,24627,16999,6646,726,"Congressional District 4 (114th Congress), Missouri",29,04,MO,MO-04-2016,36.4,61.2,29.3,65.3
757920,366743,391177,36.9,49216,518912,165779,15048,3448,2032,1816,298,50292,706681,26985,45856,174328,117755,60848,88087,19377,28519,387394,368562,18832,46396,27226,131620,8156,0.4666,38.5,370442,2657,23701,36884,43770,22008,25358,28413,57446,27318,16759,7938,813,"Congressional District 5 (114th Congress), Missouri",29,05,MO,MO-05-2016,58.9,39.4,54.1,40.6
765667,379191,386476,38.5,52206,694869,35273,7689,3111,869,1591,448,19083,739183,11401,20301,183987,153746,47382,91342,16160,32394,383239,365737,17502,56422,27725,91795,10089,0.4309,41.0,368098,10757,23342,46893,39105,22585,21909,32840,51894,23552,16560,8295,716,"Congressional District 6 (114th Congress), Missouri",29,06,MO,MO-06-2016,37.9,60.0,31.7,63.1
770073,375870,394203,37.7,55033,707105,14116,10479,7237,128,2234,19,27431,735482,17133,26997,177262,155069,56622,77707,13104,26496,368296,351832,16464,43823,23750,120222,6966,0.4413,38.9,356771,5879,25150,40926,44262,21717,18651,33353,52952,29878,10314,6126,714,"Congressional District 7 (114th Congress), Missouri",29,07,MO,MO-07-2016,30.3,67.6,24.7,70.4
748764,373569,375195,40.5,55886,688543,38145,4417,2778,62,500,113,9570,733499,6985,10044,173327,145869,90663,50751,9504,13998,331079,309949,21130,40327,20931,138518,4648,0.4512,40.7,311266,12660,22308,43654,38058,15441,13232,27436,58068,18808,14392,3912,607,"Congressional District 8 (114th Congress), Missouri",29,08,MO,MO-08-2016,32.0,65.9,21.0,75.4
1032949,519026,513923,39.9,85487,918701,4725,9071,65106,1073,3220,87,25927,1003265,9983,21356,226227,202848,45573,144135,25380,37305,506291,483951,22340,49509,25507,147287,14439,0.4623,40.3,489875,34242,45581,20210,55990,22500,26248,46657,71785,39848,31225,9067,763,"Congressional District (at Large) (114th Congress), Montana",30,AL,MT,MT-AL-2016,41.7,55.4,35.9,56.5
638320,319826,318494,35.2,44561,569429,19660,15542,7915,1217,1912,66,42884,589870,25966,43455,154922,123064,33384,78095,13791,26675,339894,329653,10241,54647,28844,76099,7418,0.4283,37.9,334987,11122,24686,40588,38766,17182,22229,37541,42969,21237,17188,5227,752,"Congressional District 1 (114th Congress), Nebraska",31,01,NE,NE-01-2016,40.8,57.5,36.2,57.5
652870,322295,330575,34.5,37665,532325,64016,20533,4644,790,2697,232,60093,589694,34613,55581,172488,119857,36403,106001,19752,42011,350125,337861,12264,61607,32365,82808,14430,0.4609,38.4,341301,3329,22473,27066,37080,17174,35751,30987,52401,22129,8981,7879,846,"Congressional District 2 (114th Congress), Nebraska",31,02,NE,NE-02-2016,45.7,52.8,46.0,48.2
605000,300468,304532,39.9,41045,570234,6859,3831,4801,1735,746,150,55730,572129,19417,29354,143220,126505,40839,60460,10724,17928,314757,306117,8640,50009,25783,72414,6819,0.4401,40.9,310501,29547,20814,36127,39994,21684,13902,27045,46355,18942,11047,3610,636,"Congressional District 3 (114th Congress), Nebraska",31,03,NE,NE-03-2016,27.8,70.2,20.0,74.9
703299,358824,344475,36.7,37756,380255,72582,60558,8277,14342,7165,1164,251535,464545,141621,225652,159984,82645,114426,50592,7782,16997,354763,318020,36743,37299,22566,163533,3882,0.4645,39.7,318685,946,23105,11006,42207,17047,16943,12376,19790,84017,6338,3466,862,"Congressional District 1 (114th Congress), Nevada",32,01,NV,NV-01-2016,65.6,32.4,61.6,32.6
706464,356374,350090,39.4,57340,579233,12982,26070,14323,1668,3461,219,128401,611257,46748,86226,158002,126341,64045,79188,11157,24830,356239,333039,23200,56823,29245,93321,11376,0.4397,40.1,334167,14916,21549,23986,40974,18487,17077,24933,32251,33955,17952,4635,915,"Congressional District 2 (114th Congress), Nevada",32,02,NV,NV-02-2016,44.8,52.9,39.7,52.0
758676,374266,384410,38.7,56939,517876,55587,103011,4794,4204,7134,1138,81331,605891,51967,134603,165830,132025,37577,112006,15449,47342,401819,376043,25776,64914,33304,65929,17188,0.4568,39.9,376096,959,16241,15258,42880,19135,29134,25771,35018,68319,13059,5795,1184,"Congressional District 3 (114th Congress), Nevada",32,03,NV,NV-03-2016,49.5,48.7,46.5,47.5
722406,357992,364414,36.3,57906,474977,105569,41927,6213,5501,9697,721,154424,597208,56518,111689,184739,115729,67313,63162,11146,20408,331440,302756,28684,54731,27693,95460,7232,0.4209,39.6,302848,4121,21628,9267,35651,14313,17641,23023,29050,48517,16678,4746,1035,"Congressional District 4 (114th Congress), Nevada",32,04,NV,NV-04-2016,54.4,43.7,49.5,44.6
671640,329778,341862,42.5,50104,630615,12416,12185,317,667,9123,2614,2905,623104,18241,40651,132320,134468,31667,109181,17806,33213,374847,357749,17098,71858,32530,51094,17535,0.4259,42.5,365684,2172,22595,45257,46738,15776,24834,36069,53564,24990,13136,8468,1059,"Congressional District 1 (114th Congress), New Hampshire",33,01,NH,NH-01-2016,50.2,48.6,46.6,48.2
658968,327938,331030,43.2,51489,614647,8876,21829,1244,967,5838,3387,2653,612936,16257,39308,131011,134476,32974,96332,15580,32153,355825,342086,13739,68252,31953,54952,20196,0.4435,43.0,347629,3862,24519,45491,40799,13077,20427,35099,54280,21162,12908,6712,972,"Congressional District 2 (114th Congress), New Hampshire",33,02,NH,NH-02-2016,54.2,44.5,48.6,46.2
738908,355503,383405,39.0,34815,498201,121670,39496,933,1754,56337,12942,12419,644921,30096,74095,168064,125311,51364,101460,15464,32186,390447,359785,30662,67318,31337,86029,17208,0.4463,41.1,360695,812,19585,25892,40281,20129,27237,38135,61800,26210,16242,6785,1039,"Congressional District 1 (114th Congress), New Jersey",34,01,NJ,NJ-01-2016,65.1,33.8,60.6,36.1
721093,355273,365820,42.3,42047,553953,87765,29862,1766,2684,58147,9032,31716,621565,35348,78456,153879,129981,70696,87361,13021,26348,357005,328157,28848,59105,27415,85597,14235,0.4609,42.3,329659,5469,25713,23902,37408,17067,17290,30778,50413,32285,16559,4186,1059,"Congressional District 2 (114th Congress), New Jersey",34,02,NJ,NJ-02-2016,53.5,45.4,46.0,50.6
735336,361020,374316,43.7,51145,589332,79996,27274,726,3111,24003,5288,11343,663745,21370,58007,150968,146988,37313,112985,16100,39236,378788,351011,27777,71196,34031,57415,20570,0.4431,43.2,351239,1437,22876,21416,47008,19889,26211,35810,52686,20682,21589,7137,1291,"Congressional District 3 (114th Congress), New Jersey",34,03,NJ,NJ-03-2016,51.8,47.2,45.2,51.4
742131,359987,382144,41.2,36267,630690,47343,33114,676,5148,18645,4135,28347,634799,39674,94089,182271,150309,37599,120444,17068,47162,362902,344989,17913,78467,35453,64391,31716,0.4722,43.1,345305,978,22049,23791,41805,15840,30797,38548,46400,20877,17665,10805,1263,"Congressional District 4 (114th Congress), New Jersey",34,04,NJ,NJ-04-2016,44.7,54.2,41.0,55.8
743424,364254,379170,42.6,28835,584049,38673,75236,1501,6989,18666,19935,8102,589592,48416,145691,165419,158147,37162,152027,23216,59869,399778,381646,18132,96349,41788,39417,42612,0.4661,44.3,383513,1683,23311,27824,45554,16817,36209,38338,55903,19273,10638,12179,1359,"Congressional District 5 (114th Congress), New Jersey",34,05,NJ,NJ-05-2016,47.9,50.9,47.7,48.8
753711,372227,381484,36.9,22195,478515,81728,143071,1675,5959,45462,33192,33279,522631,100656,212277,166514,137360,61927,119083,17960,45609,386460,364118,22342,75203,35764,70358,27643,0.4538,41.3,364521,596,19995,28871,43352,25308,31411,32288,48086,24608,10873,11584,1298,"Congressional District 6 (114th Congress), New Jersey",34,06,NJ,NJ-06-2016,61.4,37.4,56.2,40.6
743127,365242,377885,42.6,25999,590068,32117,76185,1054,7056,14278,4063,9078,594082,56238,139581,170831,162144,28059,154591,23456,64893,405461,385130,20331,101746,45343,35552,56917,0.4707,45.2,385696,2298,19496,39774,40256,14695,43498,37537,46089,19598,11216,13574,1336,"Congressional District 7 (114th Congress), New Jersey",34,07,NJ,NJ-07-2016,46.3,52.5,48.6,47.5
767452,383707,383745,34.6,11693,431419,80985,64804,3330,33292,90577,67376,25634,395230,190127,335867,168830,106358,111286,110308,11363,46924,429855,396371,33484,55090,27527,140586,19677,0.5053,37.4,396661,182,28303,33340,39693,33741,35773,28495,44984,30092,10597,11983,1199,"Congressional District 8 (114th Congress), New Jersey",34,08,NJ,NJ-08-2016,78.3,20.8,75.7,21.5
760840,371218,389622,38.1,16362,424660,78026,107045,2709,11216,64270,75424,40943,463976,109973,271211,168286,125446,78720,110529,12605,40536,371911,354486,17425,60867,30634,117655,20664,0.4929,41.4,355006,111,21563,38443,44634,25843,27460,27895,45349,20900,11544,9814,1266,"Congressional District 9 (114th Congress), New Jersey",34,09,NJ,NJ-09-2016,68.4,30.8,64.3,33.1
764684,365540,399144,36.0,18322,231883,384341,57912,1055,4307,49771,24554,13035,520079,108922,225413,173883,93935,77199,90514,13138,33453,397095,350911,46184,47184,25617,143117,13264,0.5176,40.0,352289,199,15705,22703,37184,35042,24287,32660,60671,22358,15864,8923,1078,"Congressional District 10 (114th Congress), New Jersey",34,10,NJ,NJ-10-2016,87.9,11.5,85.2,12.8
735657,355941,379716,43.1,30093,605971,28887,71162,346,7444,20132,7909,6723,592052,44517,133123,161394,155336,28714,157617,25722,61682,398480,381628,16852,102205,46469,33529,50219,0.4563,44.3,384266,330,17828,31249,38848,13235,38333,45846,49829,21479,13171,13565,1425,"Congressional District 11 (114th Congress), New Jersey",34,11,NJ,NJ-11-2016,46.6,52.4,47.9,48.8
751650,364980,386670,39.5,22334,441526,137082,124079,1099,3225,27684,12857,19790,529812,100301,209515,168526,140746,54720,120388,17171,44317,387574,361977,25597,78982,34451,72468,31759,0.4662,42.2,365686,410,21549,32482,38266,17043,32563,44005,40984,18757,15589,11370,1269,"Congressional District 12 (114th Congress), New Jersey",34,12,NJ,NJ-12-2016,66.5,32.4,65.0,31.8
690571,339946,350625,37.7,50375,494308,19820,15629,29784,2245,3265,814,196322,602754,50606,77604,150343,112306,61759,77623,15584,24916,335416,314035,21381,47199,26024,136342,8996,0.4841,39.1,314909,3642,23207,11534,38557,9392,15699,31625,45784,30723,19141,5873,790,"Congressional District 1 (114th Congress), New Mexico",35,01,NM,NM-01-2016,55.3,39.6,51.6,35.1
703727,352839,350888,36.2,55766,591395,14291,5702,38006,1001,2447,725,326730,621558,48846,74484,180380,119695,84760,53058,7716,15743,294278,271432,22846,41232,20817,154021,4879,0.4611,38.6,272966,21861,21366,10049,30851,15488,10016,35212,37569,24406,19757,2992,726,"Congressional District 2 (114th Congress), New Mexico",35,02,NM,NM-02-2016,44.9,51.7,39.9,50.1
690811,342358,348453,38.5,44397,444967,13762,7951,125722,608,2162,1039,130227,639758,25922,44867,168693,109875,65089,67435,11608,18979,314940,290093,24847,48061,24650,127471,8953,0.4864,41.4,291932,11613,19217,9912,35805,13481,13729,28403,40884,26607,22038,5123,843,"Congressional District 3 (114th Congress), New Mexico",35,03,NM,NM-03-2016,57.5,38.7,51.8,36.7
726589,361539,365050,42.1,35642,629952,40518,26543,1583,1811,33751,10744,10408,626456,39642,88594,153465,138414,40734,92838,17865,31837,369320,352662,16658,86645,36970,58542,28910,0.4489,43.8,356128,2131,29392,20833,40323,18146,21756,44247,54228,18956,17637,9701,1591,"Congressional District 1 (114th Congress), New York",36,01,NY,NY-01-2016,49.6,49.1,42.2,54.5
721038,352397,368641,39.8,28600,549498,69345,28772,911,3442,32310,22190,6166,571053,62962,134122,153761,119227,59313,86794,15765,32870,391395,369923,21472,89668,33810,46415,24943,0.4082,41.8,370553,859,25712,28689,42830,25175,28432,42818,53460,22124,17945,10908,1533,"Congressional District 2 (114th Congress), New York",36,02,NY,NY-02-2016,51.6,47.2,43.9,53.0
721764,347461,374303,44.7,25672,542349,22897,113195,1092,2974,14637,4803,5044,554581,44164,158670,154821,156680,34946,142698,25426,64175,360978,345176,15802,102602,43335,40121,50163,0.4870,44.9,347032,533,20673,18411,31925,18264,40570,40270,53100,15283,12881,12225,1794,"Congressional District 3 (114th Congress), New York",36,03,NY,NY-03-2016,50.8,48.2,51.6,45.5
